ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance,RiskPerformance_target,RiskPerformance_factual_pred
67.0,323.0,2.999999999999999,111.0,16.0,5.0,3.0,73.0,54.0,6.0,2.0,22.0,2.0,59.0,0.0,2.0,2.0,0.0,74.0,-4.440892098500626e-16,4.0,0.0,71.0,1,0.15283075,0.82265437
73.0,124.0,1.0,31.0,9.0,0.0,0.0,91.0,78.0,6.0,6.0,11.0,5.0,45.0,0.0,2.0,2.0,10.0,94.0,2.0,2.0,-8.0,67.0,1,2.0831636e-18,0.42821392
80.0,320.0,1.0,81.0,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,31.0,3.0,45.0,6.0,0.0,0.0,40.0,69.0,4.0,3.0,0.0,88.0,0,0.14216018,0.20060618
71.0,-8.0,70.0,93.0,5.0,1.0,1.0,100.0,-7.0,6.0,8.0,5.0,2.220446049250313e-16,40.0,14.0,0.0,0.0,47.0,-7.999999999999993,1.0,-8.0,0.0,50.0,1,0.0056180344,0.59696186
69.0,108.0,7.0,60.0,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,30.0,1.0,30.0,0.0,1.0,1.0,71.0,68.0,7.0,4.0,4.0,100.0,0,0.000369798,0.6432072
60.0,146.0,6.0,116.0,6.0,3.0,1.0,55.0,6.0,0.0,2.0,11.0,1.0,55.0,-7.0,1.0,1.0,83.0,-7.999999999999993,1.0,1.0,1.0,75.0,1,7.350272e-13,0.84076124
73.0,191.0,17.0,53.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,2.220446049250313e-16,25.0,-7.0,0.0,0.0,31.0,78.0,4.0,3.0,1.0,54.0,1,0.33604524,0.6665021
82.0,241.0,2.0,93.0,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,1.0,32.0,1.0,1.0,1.0,12.0,98.0,3.0,2.0,1.0,56.0,0,2.028192e-10,0.12202441
68.0,318.0,7.0,109.0,26.0,1.0,1.0,96.0,6.0,4.0,6.0,27.0,3.0,19.0,0.0,0.0,0.0,31.0,60.0,8.0,3.0,1.0,58.0,0,0.53238714,0.29582453
89.0,431.0,12.0,119.0,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.0,2.220446049250313e-16,43.0,12.0,0.0,0.0,6.0,32.0,4.0,3.0,0.0,54.0,0,0.00051794265,0.05161738
74.0,211.0,8.0,85.0,43.0,1.0,0.0,93.0,8.0,4.0,5.0,45.0,1.0,44.0,0.0,2.0,2.0,2.9999999999999964,80.0,4.0,2.0,0.0,60.0,1,0.038305152,0.36129388
67.0,235.0,5.0,39.0,11.0,0.0,0.0,91.0,6.0,4.0,6.0,30.0,3.0,27.0,-7.0,1.0,1.0,47.0,78.0,3.0,2.0,0.0,71.0,1,0.285501,0.73316395
72.0,261.0,27.0,131.0,16.0,1.0,1.0,94.0,13.0,6.0,6.0,16.0,2.220446049250313e-16,25.0,-7.0,0.0,0.0,11.0,-7.999999999999993,1.0,1.0,0.0,29.0,1,0.28801903,0.32196152
77.0,268.0,51.0,51.0,1.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,2.220446049250313e-16,0.0,-7.999999999999999,1.0,0.0,8.0,-7.999999999999993,1.0,-8.0,-8.0,100.0,0,0.05884926,0.4906116
67.0,279.0,5.0,60.0,35.0,0.0,0.0,100.0,-7.0,7.0,8.0,36.0,4.0,43.0,2.0,2.0,2.0,93.0,90.0,1.0,4.0,-8.0,100.0,0,0.24047314,0.58007956
78.0,154.0,7.0,90.0,15.0,0.0,0.0,93.0,50.0,6.0,6.0,15.0,1.0,20.0,12.0,0.0,0.0,39.0,70.0,7.0,2.0,1.0,90.0,1,7.848799e-11,0.17849028
66.0,175.0,2.0,39.0,15.0,0.0,0.0,84.0,1.9999999999999991,4.0,6.0,19.0,5.0,21.0,0.0,3.0,3.0,9.0,45.0,5.0,3.0,0.0,57.0,1,2.488934e-14,0.7375683
63.0,222.0,6.0,52.0,24.0,0.0,0.0,92.0,70.0,6.0,6.0,26.0,5.0,58.0,0.0,4.0,4.0,86.0,71.0,8.0,5.0,4.0,100.0,1,0.0143677555,0.9405637
67.0,296.0,1.0,68.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,5.0,27.0,0.0,7.0,7.0,64.0,-7.999999999999993,7.0,1.0,2.0,80.0,0,1.37357965e-05,0.85078466
73.0,85.0,6.0,40.0,17.0,1.0,0.0,94.0,11.0,3.0,5.0,18.0,2.0,28.0,10.0,0.0,0.0,10.0,-7.999999999999993,3.0,2.0,0.0,36.0,0,1.0680745e-13,0.5042116
66.0,133.0,14.0,66.0,32.0,0.0,0.0,97.0,-8.000000000000002,6.0,6.0,28.0,2.220446049250313e-16,33.0,-7.0,3.0,3.0,64.0,80.0,8.0,3.0,4.0,79.0,1,3.7532968e-13,0.85411346
86.0,181.0,2.999999999999999,89.0,11.0,0.0,0.0,100.0,-7.0,7.0,8.0,11.0,1.0,9.0,1.0,2.0,2.0,5.0,-7.999999999999993,2.0,-8.0,0.0,50.0,0,0.0044035846,0.1907052
77.0,198.0,8.0,63.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,2.0,45.0,14.0,0.0,0.0,35.0,74.0,5.0,4.0,1.0,91.0,0,0.08686789,0.25189456
75.0,117.0,1.0,59.0,31.0,0.0,0.0,100.0,-7.0,7.0,8.0,32.0,1.0,19.0,0.0,1.0,1.0,29.0,98.0,3.0,3.0,2.0,43.0,1,0.00353712,0.52599
64.0,85.99999999999999,4.0,54.0,7.0,2.0,1.0,78.0,24.0,5.0,2.0,9.000000000000002,1.0,11.000000000000004,7.0,0.0,0.0,48.0,94.0,2.0,1.0,-8.0,50.0,1,0.006328187,0.75586206
61.0,172.0,9.0,59.0,22.0,1.0,1.0,96.0,0.0,2.0,4.0,23.0,1.0,30.0,0.0,0.0,0.0,54.0,84.0,7.0,4.0,2.0,92.0,1,0.026632149,0.7421695
79.0,16.0,2.999999999999999,7.0,4.0,0.0,0.0,100.0,-7.0,7.0,8.0,5.0,4.0,40.0,0.0,2.0,2.0,8.0,-7.999999999999993,1.0,1.0,0.0,50.0,0,3.4114191e-06,0.7089654
82.0,169.0,9.0,64.0,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,1.0,15.0,11.0,0.0,0.0,17.0,56.0,4.0,2.0,0.0,30.0,0,0.6201997,0.171864
80.0,116.0,6.0,49.0,13.0,0.0,0.0,92.0,67.0,6.0,6.0,13.0,1.0,69.0,-7.0,2.0,2.0,1.0,73.0,1.0,3.0,0.0,67.0,1,3.9341885e-10,0.106186785
81.0,401.0,2.0,126.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,31.0,2.0,18.0,2.0,1.0,1.0,26.0,-7.999999999999993,2.0,1.0,1.0,40.0,0,8.727999e-08,0.12806828
71.0,308.0,10.0,113.0,32.0,1.0,1.0,100.0,-7.0,6.0,8.0,32.0,1.0,34.0,0.0,1.0,1.0,23.0,-7.999999999999993,5.0,5.0,2.0,59.0,0,0.0011410682,0.22193606
80.0,138.0,4.0,61.0,18.0,0.0,0.0,94.0,39.0,6.0,6.0,18.0,2.0,11.000000000000004,17.0,1.0,0.0,0.0,-7.999999999999993,2.0,-8.0,1.0,29.0,0,8.136955e-06,0.25781956
61.0,249.0,9.0,92.0,18.0,0.0,0.0,89.0,19.0,6.0,6.0,18.0,1.0,17.0,2.0,2.0,2.0,81.0,-7.999999999999993,8.0,1.0,3.0,77.0,1,0.7911392,0.8695558
80.0,307.0,2.999999999999999,154.0,16.0,0.0,0.0,94.0,4.0,4.0,6.0,16.0,2.0,25.0,0.0,2.0,2.0,2.0,-7.999999999999993,3.0,-8.0,0.0,38.0,0,0.000644453,0.3839049
66.0,153.0,17.0,73.0,24.0,0.0,0.0,88.0,10.0,4.0,6.0,26.0,2.220446049250313e-16,50.0,0.0,0.0,0.0,37.0,77.0,6.0,3.0,0.0,83.0,0,0.0022850388,0.7414171
65.0,120.0,16.0,68.0,21.0,0.0,0.0,81.0,20.0,6.0,6.0,21.0,2.220446049250313e-16,10.0,0.0,1.0,1.0,35.0,-7.999999999999993,8.0,-8.0,1.0,80.0,0,0.0034028664,0.8335074
70.0,87.99999999999999,16.0,48.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,2.220446049250313e-16,8.0,0.0,1.0,1.0,79.0,89.0,7.0,1.0,2.0,89.0,0,8.872531e-12,0.7817142
82.0,212.0,4.0,98.0,29.0,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,1.0,28.0,3.0,1.0,1.0,18.0,84.0,4.0,3.0,1.0,47.0,0,0.0004306761,0.1283707
85.0,189.0,16.0,89.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,2.220446049250313e-16,29.0,4.0,1.0,1.0,14.0,-7.999999999999993,3.0,2.0,0.0,56.0,1,0.004771952,0.15733904
81.0,302.0,23.0,145.0,9.0,1.0,0.0,90.0,53.0,6.0,5.0,10.0,2.220446049250313e-16,30.0,21.0,0.0,0.0,1.0,75.0,2.0,2.0,0.0,80.0,0,0.07951659,0.13992779
81.0,320.0,0.0,92.0,56.0,0.0,0.0,100.0,-7.0,7.0,8.0,61.0,5.0,16.000000000000004,1.0,4.0,4.0,4.0000000000000036,56.0,9.0,3.0,1.0,41.0,0,0.007998873,0.12906288
73.0,158.0,4.0,75.0,13.0,1.0,1.0,93.0,80.0,6.0,3.0,14.0,1.0,57.0,-7.0,1.0,1.0,97.0,77.0,2.0,2.0,2.0,100.0,1,0.07034333,0.69983053
67.0,374.0,2.0,77.0,49.0,1.0,0.0,89.0,32.0,6.0,5.0,56.0,13.0,48.0,0.0,0.0,0.0,53.0,96.0,9.0,6.0,0.0,83.0,1,1.5536908e-06,0.7753875
76.0,305.0,2.0,75.0,47.0,0.0,0.0,100.0,-7.0,7.0,8.0,51.0,6.0,32.0,-7.0,0.0,0.0,15.0,93.0,6.0,4.0,1.0,59.0,0,0.0014834843,0.155196
61.0,380.0,1.0,108.0,47.0,0.0,0.0,98.0,-8.000000000000002,6.0,6.0,55.0,7.0,16.000000000000004,0.0,7.0,7.0,39.0,-7.999999999999993,11.0,4.0,5.0,53.0,0,0.006703373,0.3768539
72.0,206.0,4.0,78.0,33.0,0.0,0.0,97.0,4.0,4.0,6.0,34.0,8.0,29.0,0.0,7.0,6.0,22.0,68.0,10.0,3.0,1.0,81.0,1,0.03288695,0.71790487
56.0,164.0,9.0,88.0,18.0,1.0,1.0,86.0,1.0,4.0,2.0,21.0,1.0,33.0,0.0,0.0,0.0,48.0,66.0,4.0,2.0,2.0,75.0,1,0.04722039,0.8249453
64.0,280.0,2.0,129.0,9.0,3.0,2.0,69.0,8.0,1.0,3.0,13.0,1.0,15.0,4.0,1.0,1.0,37.0,44.0,6.0,1.0,1.0,70.0,0,0.0045756022,0.9129582
56.0,274.0,15.0,91.0,29.0,2.0,1.0,78.0,4.0,4.0,3.0,32.0,2.220446049250313e-16,3.0,0.0,0.0,0.0,33.0,-7.999999999999993,14.0,-8.0,3.0,56.0,1,3.4798536e-06,0.7693863
94.0,203.0,12.0,125.0,9.0,0.0,0.0,100.0,-7.0,7.0,8.0,9.000000000000002,2.220446049250313e-16,11.000000000000004,0.0,0.0,0.0,0.0,-7.999999999999993,-4.440892098500626e-16,1.0,0.0,25.0,1,0.00039727002,0.08862021
61.0,217.0,8.0,87.0,13.0,0.0,0.0,73.0,5.0,4.0,6.0,15.0,1.0,33.0,7.0,0.0,0.0,59.0,-7.999999999999993,6.0,2.0,0.0,100.0,1,0.0012268117,0.81989956
74.0,226.0,2.999999999999999,66.0,27.0,0.0,0.0,93.0,12.0,6.0,6.0,43.0,4.0,37.0,9.0,0.0,0.0,32.0,81.0,5.0,4.0,0.0,75.0,0,0.00023252801,0.5040023
63.0,125.0,2.0,57.0,39.0,0.0,0.0,100.0,-7.0,7.0,8.0,59.0,2.0,29.0,0.0,7.0,6.0,69.0,85.0,10.0,4.0,7.0,71.0,1,3.8037214e-07,0.95833343
87.0,228.0,2.0,77.0,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,31.0,3.0,10.0,-7.0,4.0,4.0,6.0,100.0,7.0,1.0,0.0,38.0,1,0.10585334,0.22995748
65.0,247.0,2.0,100.0,41.0,1.0,1.0,96.0,6.0,0.0,2.0,46.0,3.0,35.0,1.0,4.0,3.0,24.0,59.0,10.0,4.0,0.0,61.0,0,0.05880637,0.1032454
74.0,193.0,1.0,91.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,2.0,18.0,-7.0,1.0,1.0,90.0,79.0,6.0,2.0,4.0,73.0,1,0.0017765457,0.8172528
87.0,172.0,17.0,112.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,3.0,2.220446049250313e-16,28.0,-7.0,0.0,0.0,7.0,25.0,4.0,2.0,0.0,75.0,0,0.00010545143,0.13704778
83.0,165.0,7.0,92.0,33.0,0.0,0.0,100.0,-7.0,7.0,8.0,50.0,1.0,68.0,0.0,1.0,1.0,16.0,85.0,3.0,6.0,0.0,69.0,0,0.11532581,0.14383867
76.0,254.0,1.0,102.0,36.0,3.0,3.0,90.0,25.0,6.0,3.0,40.0,5.0,35.0,0.0,1.0,1.0,2.9999999999999964,68.0,6.0,4.0,0.0,59.0,0,0.8982201,0.39118323
79.0,41.0,1.0,15.0,6.0,0.0,0.0,100.0,-7.0,7.0,8.0,7.999999999999998,2.0,25.0,0.0,2.0,2.0,1.0,64.0,1.0,2.0,0.0,38.0,1,7.360995e-06,0.7428176
60.0,45.0,1.0,18.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,4.0,40.0,1.0,1.0,1.0,71.0,65.0,5.0,2.0,1.0,88.0,1,5.5321357e-06,0.92716223
90.0,172.0,30.0,84.0,9.0,0.0,0.0,100.0,-7.0,7.0,8.0,9.000000000000002,2.220446049250313e-16,33.0,-7.0,0.0,0.0,4.0000000000000036,-7.999999999999993,1.0,1.0,0.0,29.0,0,0.0015496195,0.22612837
54.0,112.0,2.999999999999999,54.0,16.0,1.0,0.0,72.0,4.0,3.0,5.0,19.0,2.0,47.0,5.0,0.0,0.0,54.0,49.0,2.0,2.0,1.0,67.0,1,0.0012029628,0.89574397
70.0,115.0,2.999999999999999,124.0,30.0,1.0,1.0,94.0,8.0,0.0,2.0,7.999999999999998,2.0,23.0,3.0,4.0,4.0,39.0,77.0,6.0,2.0,2.0,53.0,1,0.009426844,0.66813445
83.0,303.0,1.0,132.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,2.0,20.0,0.0,2.0,2.0,15.0,-7.999999999999993,5.0,1.0,1.0,75.0,0,1.2824271e-08,0.132237
77.0,177.0,12.0,75.0,7.0,1.0,1.0,89.0,19.0,6.0,6.0,9.000000000000002,2.220446049250313e-16,22.0,-7.0,2.0,2.0,1.0,-7.999999999999993,1.0,-8.0,0.0,25.0,0,3.2960986e-07,0.023744112
-9.0,85.0,28.0,179.0,3.0,5.0,5.0,50.0,15.0,6.0,4.0,4.0,2.220446049250313e-16,0.0,2.0,3.0,3.0,-8.0,-7.999999999999993,-7.999999999999999,-8.0,-8.0,-8.0,1,0.00016153735,0.97142774
73.0,152.0,11.0,75.0,6.0,2.0,0.0,63.0,32.0,6.0,5.0,7.999999999999998,1.0,13.0,0.0,0.0,0.0,0.0,-7.999999999999993,-4.440892098500626e-16,1.0,-8.0,33.0,0,0.0031568897,0.6769643
86.0,244.0,2.999999999999999,106.0,28.0,0.0,0.0,100.0,-7.0,7.0,8.0,11.0,3.0,7.0,-7.999999999999999,0.0,0.0,4.0000000000000036,-7.999999999999993,3.0,-8.0,1.0,25.0,0,0.00010464861,0.14776301
59.0,200.0,9.0,79.0,25.0,1.0,1.0,92.0,4.0,2.0,4.0,31.0,1.0,38.0,-7.0,1.0,1.0,78.0,74.0,3.0,3.0,2.0,86.0,0,0.000257761,0.8445325
77.0,129.0,15.0,66.0,19.0,0.0,0.0,95.0,48.0,6.0,6.0,19.0,2.220446049250313e-16,47.0,14.0,0.0,0.0,40.0,29.0,2.0,2.0,0.0,80.0,0,0.24389715,0.26404586
79.0,196.0,4.0,65.0,10.0,0.0,0.0,100.0,-7.0,7.0,8.0,67.0,1.0,55.0,10.0,0.0,0.0,-8.0,50.0,1.0,2.0,-8.0,100.0,0,7.164185e-05,0.04564783
90.0,308.0,4.0,95.0,28.0,0.0,0.0,100.0,-7.0,7.0,8.0,31.0,2.0,27.0,4.0,2.0,2.0,2.0,-7.999999999999993,2.0,1.0,0.0,33.0,0,0.77664346,0.09628445
62.0,193.0,2.999999999999999,78.0,15.0,2.0,2.0,100.0,-7.0,6.0,8.0,16.0,2.0,40.0,0.0,3.0,3.0,99.0,38.0,5.0,2.0,3.0,100.0,1,0.0071237907,0.7826321
70.0,81.99999999999999,0.0,48.0,17.0,0.0,0.0,95.0,71.0,6.0,6.0,19.0,2.0,16.000000000000004,0.0,7.0,7.0,20.0,-7.999999999999993,5.0,-8.0,1.0,45.0,1,0.00034334403,0.79653984
56.0,167.0,7.0,75.0,31.0,0.0,0.0,88.0,1.9999999999999991,4.0,6.0,33.0,1.0,42.0,0.0,1.0,1.0,74.0,62.0,11.0,2.0,2.0,93.0,1,1.3514729e-07,0.929892
65.0,145.0,4.0,46.0,36.0,0.0,0.0,94.0,80.0,5.0,6.0,36.0,4.0,31.0,0.0,1.0,1.0,61.0,74.0,13.0,6.0,5.0,84.0,1,0.0008048181,0.923642
84.0,338.0,13.0,77.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,57.0,2.220446049250313e-16,20.0,19.0,0.0,0.0,15.0,31.0,5.0,2.0,0.0,58.0,0,0.00020559195,0.32574767
65.0,96.0,15.0,33.0,11.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,2.220446049250313e-16,9.0,-7.0,0.0,0.0,85.0,-7.999999999999993,6.0,1.0,3.0,100.0,1,0.07750523,0.84525555
59.0,271.0,5.0,76.0,28.0,0.0,0.0,89.0,1.9999999999999991,4.0,6.0,27.0,1.0,36.0,-7.0,3.0,3.0,23.0,97.0,8.0,3.0,0.0,69.0,1,3.5895882e-06,0.76403034
61.0,128.0,4.0,61.0,5.0,1.0,1.0,75.0,13.0,6.0,2.0,7.999999999999998,1.0,38.0,3.0,2.0,2.0,90.0,-7.999999999999993,1.0,1.0,1.0,100.0,1,0.17194764,0.92497677
83.0,158.0,5.0,74.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,2.0,47.0,7.0,0.0,0.0,29.0,71.0,4.0,2.0,0.0,86.0,0,7.976247e-07,0.16665927
